ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
5058298901476893676,2021-07,0.008519
274692171162531764,2021-07,0.017153
274692171162531764,2021-07,0.017153
274692171162531764,2021-07,0.018504
465309249432033993,2021-07,0.006612
465309249432033993,2021-07,0.006612
465309249432033993,2021-07,0.007462
465309249432033993,2021-07,0.007462
5883155883105348987,2021-07,0.013205
5883155883105348987,2021-07,0.015655
4489904752023469353,2021-07,0.083062
3355881107559250653,2021-07,0.002678
3355881107559250653,2021-07,0.002549
3355881107559250653,2021-07,0.002678
3355881107559250653,2021-07,0.003317
3355881107559250653,2021-07,0.003317
3355881107559250653,2021-07,0.002678
3355881107559250653,2021-07,0.002549
6330043096034525408,2021-07,0.112952
6330043096034525408,2021-07,0.128336
6964108750473070287,2021-07,0.012858
6964108750473070287,2021-07,0.031482
6964108750473070287,2021-07,0.010523
6964108750473070287,2021-07,0.01377
6964108750473070287,2021-07,0.019299
6964108750473070287,2021-07,0.011991
6964108750473070287,2021-07,0.011991
6964108750473070287,2021-07,0.01264
6964108750473070287,2021-07,0.012858
6964108750473070287,2021-07,0.01377
6964108750473070287,2021-07,0.010523
6964108750473070287,2021-07,0.011991
6964108750473070287,2021-07,0.030978
6964108750473070287,2021-07,0.011991
6964108750473070287,2021-07,0.011991
6964108750473070287,2021-07,0.031482
4008627434689715639,2021-07,0.367714
4008627434689715639,2021-07,0.384411
4008627434689715639,2021-07,0.341302
5757271354816214865,2021-07,0.585356
5757271354816214865,2021-07,0.655875
5757271354816214865,2021-07,0.583604
5757271354816214865,2021-07,0.585356
5757271354816214865,2021-07,0.585356
5757271354816214865,2021-07,0.58006
5757271354816214865,2021-07,0.602923
5757271354816214865,2021-07,0.585356
5757271354816214865,2021-07,0.58006
5757271354816214865,2021-07,0.58006
5757271354816214865,2021-07,0.585356
5757271354816214865,2021-07,0.655875
5757271354816214865,2021-07,0.602923
5757271354816214865,2021-07,0.58006
5757271354816214865,2021-07,0.58006
8909740532547211288,2021-07,0.001644
8909740532547211288,2021-07,0.00106
8909740532547211288,2021-07,0.001036
4045739494965095560,2021-07,0.001096
4045739494965095560,2021-07,0.000397
4045739494965095560,2021-07,0.001965
6759864637454708017,2021-07,0.012726
6759864637454708017,2021-07,0.012731
6759864637454708017,2021-07,0.010751
6759864637454708017,2021-07,0.012462
6759864637454708017,2021-07,0.012726
6759864637454708017,2021-07,0.012462
6134696632487351445,2021-07,0.002549
6134696632487351445,2021-07,0.002549
6134696632487351445,2021-07,0.002549
5373371196946859811,2021-07,0.010885
3095686599956852697,2021-07,0.00106
3095686599956852697,2021-07,0.000976
3095686599956852697,2021-07,0.000384
1616952665234409442,2021-07,0.039439
1616952665234409442,2021-07,0.050862
1088521227159442264,2021-07,0.000557
1088521227159442264,2021-07,0.000349
1088521227159442264,2021-07,0.000557
8529899700094903171,2021-07,0.00776
8529899700094903171,2021-07,0.025815
8529899700094903171,2021-07,0.007597
8529899700094903171,2021-07,0.007597
8529899700094903171,2021-07,0.00776
8529899700094903171,2021-07,0.008849
8529899700094903171,2021-07,0.008849
499242942549937267,2021-07,0.063399
499242942549937267,2021-07,0.061165
499242942549937267,2021-07,0.061165
499242942549937267,2021-07,0.052116
499242942549937267,2021-07,0.052116
499242942549937267,2021-07,0.061165
499242942549937267,2021-07,0.061246
499242942549937267,2021-07,0.061165
499242942549937267,2021-07,0.052036
5897410907783139228,2021-07,0.001036
5897410907783139228,2021-07,0.001644
5897410907783139228,2021-07,0.001036
5897410907783139228,2021-07,0.001036
2083323809219952960,2021-07,0.006257
2083323809219952960,2021-07,0.014978
2083323809219952960,2021-07,0.014978
2083323809219952960,2021-07,0.014978
2083323809219952960,2021-07,0.005915
2083323809219952960,2021-07,0.003972
2083323809219952960,2021-07,0.003972
2083323809219952960,2021-07,0.0101
2083323809219952960,2021-07,0.026341
2083323809219952960,2021-07,0.020066
1953058402621337677,2021-07,0.000783
1953058402621337677,2021-07,0.000533
1953058402621337677,2021-07,0.002792
1953058402621337677,2021-07,0.002619
3408536439470975134,2021-07,0.0
3408536439470975134,2021-07,0.0
3408536439470975134,2021-07,0.0
3408536439470975134,2021-07,0.0
5687511145009775604,2021-07,0.201762
5687511145009775604,2021-07,0.808919
7485107528960607346,2021-07,0.025466
7485107528960607346,2021-07,0.027505
531805620371082364,2021-07,0.030315
5761480994209806499,2021-07,0.000325
5761480994209806499,2021-07,0.000257
5761480994209806499,2021-07,0.000257
5761480994209806499,2021-07,0.000257
5761480994209806499,2021-07,0.000325
5761480994209806499,2021-07,0.000257
5761480994209806499,2021-07,0.000325
5761480994209806499,2021-07,0.000257
5761480994209806499,2021-07,0.000325
5761480994209806499,2021-07,0.000257
5761480994209806499,2021-07,0.000257
5761480994209806499,2021-07,0.000257
5761480994209806499,2021-07,0.000325
5761480994209806499,2021-07,0.000325
5761480994209806499,2021-07,0.000325
5761480994209806499,2021-07,0.000325
4762256864594914240,2021-07,0.001644
8570963260597299378,2021-07,0.001644
5974858472822751652,2021-07,0.001644
3421433989501830226,2021-07,0.665536
4327694790333781288,2021-07,0.002549
4327694790333781288,2021-07,0.000976
8173830874846355280,2021-07,0.001644
8173830874846355280,2021-07,0.001644
8173830874846355280,2021-07,0.001644
8173830874846355280,2021-07,0.001644
8173830874846355280,2021-07,0.001644
8173830874846355280,2021-07,0.001644
8173830874846355280,2021-07,0.001644
8173830874846355280,2021-07,0.001644
8173830874846355280,2021-07,0.001644
8173830874846355280,2021-07,0.001644
2347028805684088098,2021-07,0.002748
3632378524835692731,2021-07,0.000533
3632378524835692731,2021-07,0.000533
